traits	PA
B/Chongqing-Yuzhong/1294/2010_2010-05-05	Y
B/Hong_Kong/06/2001_2001-01-08	Y
B/Temple/B3/1999_1999-02-09	Y
B/North_Carolina/WRAIR1582P/2009_2009-03	Y
B/Tennessee/UR06-0261/2007_2007-02-13	Y
B/Texas/07/2011_2011-03-04	Y
B/Managua/2037.01/2010_2010-08-28	Y
B/Canada/16188/2000_2000-11-23	Y
B/Barcelona/215/03_2003	Y
B/Ohio/UR06-0410/2007_2007-02-23	Y
B/Perth/25/2002_2002-07-09	Y
B/Singapore/11/94_1994-05-10	Y
B/Taiwan/125/2004_2004-02-10	Y
B/Hong_Kong/22/1989_1989	Y
B/Brazil/975/2000_2000-06-09	Y
B/Beijing/76/98_1998	Y
B/Alaska/03/1992_1992-06-13	Y
B/Shaanxi-Beilin/1230/2011_2011-03-02	Y
B/Nevada/03/2011_2011-02-02	Y
B/Shanghai-Luwan/1169/2011_2011-04-05	Y
B/Brisbane/60-2/2010_2010-11-09	Y
B/Shanghai-Luwan/1217/2011_2011-05-04	Y
B/Houston/B84/2003_2003-01-15	Y
B/Osaka/547/1997_1997	Y
B/Jiangsu-Beitang/1141/2011_2011-04-07	Y
B/Shanghai-Hongkou/1255/2011_2011-05-06	Y
B/Taiwan/2755/2006_2006-11-11	Y
B/South_Carolina/NHRC0001/2004_2004-12-23	Y
B/New_York/24/1993_1993-12-08	Y
B/Houston/B57/1997_1997-02-10	Y
B/Los_Angeles/1/02_2002	Y
B/South_Carolina/NHRC0001/2001_2001-01-17	Y
B/Hong_Kong/1351/02_2002-01-17	Y
B/Johannesburg/69/2001_2001-06-12	Y
B/Argentina/3640/1999_1999	Y
B/Nebraska/2/01_2001	Y
B/Anhui-Luyang/1142/2011_2011-05-03	Y
B/Nanchang/2/97_1997	Y
B/Hong_Kong/293/02_2002	Y
B/Taiwan/42/2007_2007-01-16	Y
B/Shanghai-Baoshan/152/2011_2011-02-09	Y
B/Shiga/51/98_1998	Y
B/Houston/B69/2002_2002-03-21	Y
B/Mississippi/UR06-0446/2007_2007-02-27	Y
B/Mississippi/UR06-0031/2007_2007-01-16	Y
B/Temple/B9/1999_1999-02-09	Y
B/Nepal/1331/2005_2005-07-13	Y
B/California/NHRC0004/2006_2006-02-28	Y
B/Managua/5227.05/2010_2010-08-31	Y
B/Sichuan-Wenjiang/279/2011_2011-05-04	Y
B/New_York/347/1999_1999-01-19	Y
B/Jiangsu-Pizhou/529/2011_2011-04-25	Y
B/Mississippi/UR06-0551/2007_2007-03-08	Y
B/Panama/45/90_1990	Y
B/California/NHRC0005/2005_2005-01-18	Y
B/Yamagata/16/88_1988	Y
B/Houston/B745/2005_2005-01-03	Y
B/Hunan-Lusong/1325/2011_2011-05-11	Y
B/Russia/22/1995_1995	Y
B/Bangkok/163/1990_1990	Y
B/Tennessee/UR06-0310/2007_2007-02-15	Y
B/Johannesburg/05/1999_1999	Y
B/Mississippi/UR06-0317/2007_2007-02-15	Y
B/Taiwan/539/2005_2005-02-07	Y
B/Virginia/03/2011_2011-02-16	Y
B/Houston/B74/2002_2002-03-18	Y
B/Tianjin-Hedong/1174/2011_2011-05-15	Y
B/Tennessee/UR06-0079/2007_2007-01-26	Y
B/Beijing-Xicheng/1962/2011_2011-05-23	Y
B/Beijing-Xicheng/1291/2011_2011-03-09	Y
B/Mississippi/UR06-0409/2007_2007-02-23	Y
B/Bangladesh/9673/2009_2009-11-01	Y
B/Chile/3162/2002_2002-03-14	Y
B/Managua/1499.02/2010_2010-10-05	Y
B/Georgia/02/1998_1998-11-28	Y
B/South_Carolina/04/2003_2003-02-06	Y
B/Houston/B66/2000_2000-03-10	Y
B/Nanchang/6/98_1998	Y
B/Taiwan/481/2001_2001-02-15	Y
B/Bangladesh/5945/2009_2009-09-30	Y
B/Jiangsu-Quanshan/1329/2011_2011-04-27	Y
B/Illinois/NHRC0001/2003_2003-02-24	Y
B/Jiangsu-Nanjinggulou/1655/2011_2011-05-20	Y
B/Taiwan/45/2007_2007-01-03	Y
B/Egypt/2040/2004_2004-04-27	Y
B/Houston/B87/2003_2003-01-19	Y
B/California/NHRC0005/2003_2003-03-10	Y
B/Mie/01/1993_1993	Y
B/Shanghai-Baoshan/197/2011_2011-03-07	Y
B/Hong_Kong/542/2000_2000-07-20	Y
B/Houston/B756/2005_2005-01-04	Y
B/Norway/24/2011_2011-01-04	Y
B/Temple/B17/2003_2003	Y
B/California/NHRC0002/2005_2005-01-25	Y
B/Brisbane/60-6/2010_2010-09-13	Y
B/Houston/B60/1997_1997-02-25	Y
B/Laos/89/2011_2011-02-21	Y
B/Georgia/01/2011_2011-01-01	Y
B/California/NHRC0005/2006_2006-02-28	Y
B/Singapore/31/1998_1998	Y
B/Singapore/35/1998_1998-10-22	Y
B/Managua/3759.01/2008_2008-06-04	Y
B/Houston/B720/2004_2004-12-28	Y
B/Brisbane/60-12/2010_2010-10-09	Y
B/Connecticut/02/1995_1995-01-05	Y
B/Managua/4847.02/2008_2008-05-27	Y
B/California/NHRC0006/2005_2005-01-21	Y
B/Tennessee/UR06-0559/2007_2007-03-08	Y
B/Shizuoka/15/2001_2001	Y
B/Missouri/NHRC0001/2003_2003-03-04	Y
B/Singapore/22/1998_1998	Y
B/North_Carolina/20/2011_2011-01-06	Y
B/Taiwan/94/2005_2005-01-10	Y
B/Hawaii/33/2004_2004	Y
B/Shanghai-Zhangning/1143/2011_2011-03-01	Y
B/Houston/B63/1997_1997-03-05	Y
B/Temple/B19/2003_2003	Y
B/Shanghai-Jingan/1392/2011_2011-04-18	Y
B/Colorado/04/2004_2004-11-09	Y
B/Chongqing-Wanzhou/1152/2011_2011-03-08	Y
B/Texas/NHRC0001/2006_2006-04-05	Y
B/Shanghai-Pudongxin/1238/2011_2011-05-13	Y
B/Gansu-Chengguan/572/2011_2011-03-10	Y
B/Sichuan-Qingyang/1305/2010_2010-07-11	Y
B/South_Carolina/NHRC0002/2001_2001-01-30	Y
B/Brisbane/60-4/2010_2010-10-09	Y
B/Georgia/NHRC0001/2006_2006-05-29	Y
B/Illinois/NHRC0001/2006_2006-02-22	Y
B/Malaysia/2506/2004_2004	Y
B/PHILIPPINES/3701/2011_2011-10-06	Y
B/Victoria/504/2000_2000-08-03	Y
B/Temple/B1190/2001_2001	Y
B/Harbin/7/1994_1994	Y
B/Paris/549/1999_1999	Y
B/Ohio/01/2005_2005-02-23	Y
B/Fujian-Xiangcheng/2150/2011_2011-05-30	Y
B/Hunan-Yuhua/1265/2011_2011-05-03	Y
B/Hunan-Beihu/1300/2011_2011-05-26	Y
B/Managua/6006.03/2010_2010-08-05	Y
B/South_Carolina/NHRC0001/2000_2000-02-14	Y
B/Tehran/80/02_2002	Y
B/Fujian-Licheng/118/2010_2010-07-09	Y
B/Hunan-Lusong/1126/2011_2011-02-16	Y
