traits	PB1
B/South_Carolina/NHRC0001/2004_2004-12-23	V
B/New_York/24/1993_1993-12-08	V
B/Hawaii/33/2004_2004	V
B/California/NHRC0004/2003_2003-03-06	V
B/New_York/39/1991_1991-03-20	V
B/Managua/4485.05/2010_2010-08-10	V
B/North_Carolina/03/2011_2011-01-05	V
B/Managua/2090.02/2010_2010-07-15	V
B/Houston/B77/2002_2002-03-21	V
B/Mississippi/UR06-0409/2007_2007-02-23	V
B/Chongqing-Yuzhong/1294/2010_2010-05-05	V
B/Illinois/NHRC0001/2006_2006-02-22	V
B/North_Carolina/20/2011_2011-01-06	V
B/Chongqing-Wanzhou/1294/2011_2011-06-18	V
B/Moscow/3/03_2003	V
B/Cheju/303/03_2003	V
B/Managua/4772.01/2010_2010-10-08	V
B/Hunan-Hengnan/35/2011_2011-06-29	V
B/Shanghai-Huangpu/171/2011_2011-02-22	V
B/Cambodia/30/2011_2011-01-04	V
B/Managua/1873.01/2010_2010-06-15	V
B/Houston/B88/2003_2003-01-17	V
B/Hong_Kong/167/2002_2002-01-03	V
B/Hong_Kong/06/2001_2001-01-08	V
B/Houston/B86/2003_2003-01-21	V
B/Brisbane/60-7/2010_2010-09-15	V
B/California/NHRC0005/2003_2003-03-10	V
B/Nanchang/6/96_1996	V
B/Hong_Kong/22/2001_2001-01-18	V
B/Beijing/243/97_1997	V
B/Brisbane/33/2008_2008-07-13	V
B/Memphis/3/89_1989	V
B/Texas/UR06-0541/2007_2007-03-06	V
B/Managua/5454.02/2010_2010-07-04	V
B/Taiwan/70690/2006_2006-05-12	V
B/Taiwan/202/2005_2005	V
B/Michigan/01/2009_2009-04-04	V
B/Laos/89/2011_2011-02-21	V
B/Beijing-Xicheng/1875/2011_2011-05-03	V
B/Taiwan/70061/2006_2006-01-16	V
B/Beijing-Xicheng/11082/2010_2010-05-04	V
B/Mississippi/UR06-0446/2007_2007-02-27	V
B/PHILIPPINES/2533/2011_2011-07-27	V
B/Nevada/03/2011_2011-02-02	V
B/Taiwan/42/2007_2007-01-16	V
B/Ann_Arbor/1994_1994	V
B/Temple/B24/2003_2003	V
B/Bolivia/104/2010_2010-03-19	V
