state	root	nonSwedish
3160000	1955.7202238231948	2000.7016423673895
3180000	None	2004.8192373320223
3200000	1959.1262948897802	2004.4942737360338
3220000	None	2005.171604929552
3240000	1961.0727624754604	2002.900600729867
3260000	1957.5453311627878	2004.611564239392
3280000	1961.0801197287656	2004.051599887449
3300000	None	2000.4797701269977
3320000	None	1998.556391923755
3340000	None	2001.0666867575462
3360000	1957.8557260474943	2001.0503801001787
3380000	1957.269784429752	2003.1305954012428
3400000	1954.6252299130633	2001.2122071179485
3420000	None	2002.9128389486907
3440000	None	2002.5846224782733
3460000	None	2002.8668905319998
3480000	1955.6124459214316	2001.5921955099122
3500000	1955.9649157820206	2000.9952018595784
3520000	None	2004.6150687290874
3540000	1969.7237712517363	2005.0539696700318
3560000	1958.6967734891573	2001.749297313638
3580000	1959.5011654500927	2001.8884267326835
3600000	1960.8018762481613	2003.1171720688544
3620000	1959.4520018003889	2002.4875316487928
3640000	None	2002.8643244325674
3660000	1962.2076481236975	2002.7253118045667
3680000	1959.2303876134426	2003.3187066393493
3700000	1963.54453759386	2006.1334942546816
3720000	None	2005.5470259515034
3740000	None	2006.6588671119277
3760000	None	2003.6557765300213
3780000	1968.2485157139204	2003.6910063427865
3800000	1963.0065203786114	2005.4547350929395
3820000	1958.5368475956982	2002.355099238969
3840000	None	2003.9047356341996
3860000	1965.7943668314126	2005.2906608657565
3880000	1961.7330175051334	2004.031913731185
3900000	None	2004.674523351692
3920000	None	2006.1489975182255
3940000	1966.174485243706	2003.8159011628916
3960000	1965.1234951727195	2004.1993884220112
3980000	1967.476656678858	2003.8325984850535
4000000	None	2001.7703624872988
4020000	None	2003.0358292751691
4040000	1954.1862695502653	2003.4143948201527
4060000	None	2002.7935088520562
4080000	1962.5580416010584	2003.87388435904
4100000	None	2002.5645685178295
4120000	None	2006.124693503785
4140000	1961.477702653307	2003.9154923202414
4160000	1969.556433977541	2004.7796597269908
4180000	1967.2277066191314	2004.160188252601
4200000	1954.71614840293	1999.0921989386925
4220000	None	2002.0221859161923
4240000	None	1998.4547035810522
4260000	1942.949585190035	1998.7926670455538
4280000	None	1999.53368282879
4300000	None	2000.6086577553142
4320000	1943.640159734121	1999.7028843266144
4340000	None	2001.1909798509912
4360000	1966.0824762706955	2003.9970950529935
4380000	1956.1768990430164	2003.6047524546552
4400000	1953.5189523807956	2001.7673484116076
4420000	1936.6143729473072	1999.2600504429033
4440000	1948.2608987539256	2003.3024102847069
4460000	None	1998.7249975642571
4480000	None	1999.518381406253
4500000	None	2002.2196639169633
4520000	1939.5504604132952	1994.2289677188808
4540000	1937.0914776942868	1996.321011343443
4560000	None	1999.8219911502558
4580000	1931.545393062914	1996.1909985364832
4600000	None	1998.081006006509
4620000	None	1997.1646258088945
4640000	None	2001.89972114337
4660000	None	1998.1459229361303
4680000	None	1998.8343269802147
4700000	1952.60938191171	2000.9904978483576
4720000	None	2005.3817294769237
4740000	1969.2598430261112	2005.2191323045663
4760000	1960.3531908609586	2003.617058695175
4780000	1957.3462623944579	2002.4351333198124
4800000	1952.6992249826694	2002.190116765028
4820000	None	2000.1843226722656
4840000	None	1995.4175013026324
4860000	1944.1292335775886	1996.1788186259516
4880000	None	1999.0542125130473
4900000	None	1998.330487883534
4920000	None	2001.3436132337567
